Skill Area,Practice Question
JOIN,"Join Transactions, Clients, Services, and Dogs to show client name, dog name, service name, revenue, and service date."
GROUP BY,Calculate total revenue and gross profit by service category.
ORDER BY,Find the top 10 clients by total revenue.
CASE WHEN,"Create a client value segment: High Value if revenue >= 500, Mid Value if >= 250, otherwise Starter."
DATE,Calculate monthly revenue trends using the Calendar table.
Marketing Analytics,Compare revenue generated by referral source and campaign goal.
Operational Analytics,Calculate revenue per trainer hour and revenue per travel mile by service category.
Retention,Identify clients with more than one transaction and calculate repeat client rate.
Training Outcomes,Compare satisfaction rating by primary behavior issue and training outcome.
Window Function,Rank services by monthly revenue within each month.
